Ward name,New code,Median Household income estimate (2012/13)
City of London,E09000001,"63,620"
Barking and Dagenham - Abbey,E05000026,"33,920"
Barking and Dagenham - Alibon,E05000027,"32,470"
Barking and Dagenham - Becontree,E05000028,"33,000"
Barking and Dagenham - Chadwell Heath,E05000029,"33,920"
Barking and Dagenham - Eastbrook,E05000030,"37,400"
Barking and Dagenham - Eastbury,E05000031,"32,870"
Barking and Dagenham - Gascoigne,E05000032,"29,480"
Barking and Dagenham - Goresbrook,E05000033,"33,250"
Barking and Dagenham - Heath,E05000034,"31,340"
Barking and Dagenham - Longbridge,E05000035,"40,570"
Barking and Dagenham - Mayesbrook,E05000036,"31,530"
Barking and Dagenham - Parsloes,E05000037,"31,860"
Barking and Dagenham - River,E05000038,"33,490"
Barking and Dagenham - Thames,E05000039,"32,580"
Barking and Dagenham - Valence,E05000040,"33,200"
Barking and Dagenham - Village,E05000041,"31,960"
Barking and Dagenham - Whalebone,E05000042,"37,180"
Barnet - Brunswick Park,E05000043,"39,800"
Barnet - Burnt Oak,E05000044,"29,400"
Barnet - Childs Hill,E05000045,"38,960"
Barnet - Colindale,E05000046,"30,170"
Barnet - Coppetts,E05000047,"38,090"
Barnet - East Barnet,E05000048,"39,870"
Barnet - East Finchley,E05000049,"41,160"
Barnet - Edgware,E05000050,"38,410"
Barnet - Finchley Church End,E05000051,"45,030"
Barnet - Garden Suburb,E05000052,"53,090"
Barnet - Golders Green,E05000053,"40,800"
Barnet - Hale,E05000054,"38,590"
Barnet - Hendon,E05000055,"38,530"
Barnet - High Barnet,E05000056,"43,940"
Barnet - Mill Hill,E05000057,"41,920"
Barnet - Oakleigh,E05000058,"41,670"
Barnet - Totteridge,E05000059,"46,150"
Barnet - Underhill,E05000060,"37,040"
Barnet - West Finchley,E05000061,"42,050"
Barnet - West Hendon,E05000062,"35,090"
Barnet - Woodhouse,E05000063,"38,220"
Bexley - Barnehurst,E05000064,"38,200"
Bexley - Belvedere,E05000065,"33,510"
Bexley - Blackfen and Lamorbey,E05000066,"40,780"
Bexley - Blendon and Penhill,E05000067,"40,340"
Bexley - Brampton,E05000068,"40,790"
Bexley - Christchurch,E05000069,"40,190"
Bexley - Colyers,E05000070,"34,450"
Bexley - Crayford,E05000071,"34,900"
Bexley - Cray Meadows,E05000072,"35,530"
Bexley - Danson Park,E05000073,"38,580"
Bexley - East Wickham,E05000074,"36,260"
Bexley - Erith,E05000075,"33,160"
Bexley - Falconwood and Welling,E05000076,"39,000"
Bexley - Lesnes Abbey,E05000077,"35,630"
Bexley - Longlands,E05000078,"40,880"
Bexley - North End,E05000079,"29,930"
Bexley - Northumberland Heath,E05000080,"37,130"
Bexley - St. Mary's,E05000081,"44,010"
Bexley - St. Michael's,E05000082,"38,510"
Bexley - Sidcup,E05000083,"41,220"
Bexley - Thamesmead East,E05000084,"32,100"
Brent - Alperton,E05000085,"31,250"
Brent - Barnhill,E05000086,"34,630"
Brent - Brondesbury Park,E05000087,"40,020"
Brent - Dollis Hill,E05000088,"30,990"
Brent - Dudden Hill,E05000089,"33,470"
Brent - Fryent,E05000090,"35,590"
Brent - Harlesden,E05000091,"27,030"
Brent - Kensal Green,E05000092,"34,640"
Brent - Kenton,E05000093,"42,190"
Brent - Kilburn,E05000094,"34,270"
Brent - Mapesbury,E05000095,"36,830"
Brent - Northwick Park,E05000096,"41,100"
Brent - Preston,E05000097,"35,960"
Brent - Queens Park,E05000098,"42,880"
Brent - Queensbury,E05000099,"35,110"
Brent - Stonebridge,E05000100,"25,800"
Brent - Sudbury,E05000101,"33,530"
Brent - Tokyngton,E05000102,"33,130"
Brent - Welsh Harp,E05000103,"31,620"
Brent - Wembley Central,E05000104,"31,040"
Brent - Willesden Green,E05000105,"31,390"
Bromley - Bickley,E05000106,"47,190"
Bromley - Biggin Hill,E05000107,"40,930"
Bromley - Bromley Common and Keston,E05000108,"40,510"
Bromley - Bromley Town,E05000109,"43,460"
Bromley - Chelsfield and Pratts Bottom,E05000110,"44,850"
Bromley - Chislehurst,E05000111,"46,250"
Bromley - Clock House,E05000112,"41,650"
Bromley - Copers Cope,E05000113,"43,170"
Bromley - Cray Valley East,E05000114,"32,230"
Bromley - Cray Valley West,E05000115,"31,740"
Bromley - Crystal Palace,E05000116,"34,060"
Bromley - Darwin,E05000117,"42,810"
Bromley - Farnborough and Crofton,E05000118,"44,590"
Bromley - Hayes and Coney Hall,E05000119,"45,660"
Bromley - Kelsey and Eden Park,E05000120,"44,700"
Bromley - Mottingham and Chislehurst North,E05000121,"32,330"
Bromley - Orpington,E05000122,"38,090"
Bromley - Penge and Cator,E05000123,"36,090"
Bromley - Petts Wood and Knoll,E05000124,"48,530"
Bromley - Plaistow and Sundridge,E05000125,"39,460"
Bromley - Shortlands,E05000126,"48,020"
Bromley - West Wickham,E05000127,"46,210"
Camden - Belsize,E05000128,"52,680"
Camden - Bloomsbury,E05000129,"40,340"
Camden - Camden Town with Primrose Hill,E05000130,"45,840"
Camden - Cantelowes,E05000131,"39,060"
Camden - Fortune Green,E05000132,"46,800"
Camden - Frognal and Fitzjohns,E05000133,"60,310"
Camden - Gospel Oak,E05000134,"39,990"
Camden - Hampstead Town,E05000135,"62,840"
Camden - Haverstock,E05000136,"35,730"
Camden - Highgate,E05000137,"47,840"
Camden - Holborn and Covent Garden,E05000138,"40,180"
Camden - Kentish Town,E05000139,"41,230"
Camden - Kilburn,E05000140,"34,730"
Camden - King's Cross,E05000141,"32,890"
Camden - Regent's Park,E05000142,"34,260"
Camden - St. Pancras and Somers Town,E05000143,"30,500"
Camden - Swiss Cottage,E05000144,"50,340"
Camden - West Hampstead,E05000145,"46,290"
Croydon - Addiscombe,E05000146,"38,070"
Croydon - Ashburton,E05000147,"38,600"
Croydon - Bensham Manor,E05000148,"33,530"
Croydon - Broad Green,E05000149,"31,000"
Croydon - Coulsdon East,E05000150,"42,660"
Croydon - Coulsdon West,E05000151,"46,610"
Croydon - Croham,E05000152,"42,260"
Croydon - Fairfield,E05000153,"39,130"
Croydon - Fieldway,E05000154,"26,720"
Croydon - Heathfield,E05000155,"39,770"
Croydon - Kenley,E05000156,"44,160"
Croydon - New Addington,E05000157,"28,770"
Croydon - Norbury,E05000158,"36,810"
Croydon - Purley,E05000159,"44,600"
Croydon - Sanderstead,E05000160,"47,030"
Croydon - Selhurst,E05000161,"31,220"
Croydon - Selsdon and Ballards,E05000162,"45,320"
Croydon - Shirley,E05000163,"39,500"
Croydon - South Norwood,E05000164,"34,430"
Croydon - Thornton Heath,E05000165,"33,720"
Croydon - Upper Norwood,E05000166,"37,430"
Croydon - Waddon,E05000167,"34,630"
Croydon - West Thornton,E05000168,"32,400"
Croydon - Woodside,E05000169,"33,890"
Ealing - Acton Central,E05000170,"36,500"
Ealing - Cleveland,E05000171,"41,730"
Ealing - Dormers Wells,E05000172,"29,350"
Ealing - Ealing Broadway,E05000173,"45,540"
Ealing - Ealing Common,E05000174,"43,600"
Ealing - East Acton,E05000175,"32,930"
Ealing - Elthorne,E05000176,"38,970"
Ealing - Greenford Broadway,E05000177,"30,500"
Ealing - Greenford Green,E05000178,"35,420"
Ealing - Hanger Hill,E05000179,"44,760"
Ealing - Hobbayne,E05000180,"36,220"
Ealing - Lady Margaret,E05000181,"32,520"
Ealing - Northfield,E05000182,"48,480"
Ealing - North Greenford,E05000183,"36,480"
Ealing - Northolt Mandeville,E05000184,"31,950"
Ealing - Northolt West End,E05000185,"28,550"
Ealing - Norwood Green,E05000186,"29,020"
Ealing - Perivale,E05000187,"36,040"
Ealing - South Acton,E05000188,"34,300"
Ealing - Southall Broadway,E05000189,"27,930"
Ealing - Southall Green,E05000190,"27,150"
Ealing - Southfield,E05000191,"50,170"
Ealing - Walpole,E05000192,"46,240"
Enfield - Bowes,E05000193,"36,300"
Enfield - Bush Hill Park,E05000194,"41,800"
Enfield - Chase,E05000195,"36,350"
Enfield - Cockfosters,E05000196,"43,570"
Enfield - Edmonton Green,E05000197,"26,010"
Enfield - Enfield Highway,E05000198,"29,450"
Enfield - Enfield Lock,E05000199,"30,240"
Enfield - Grange,E05000200,"45,960"
Enfield - Haselbury,E05000201,"29,600"
Enfield - Highlands,E05000202,"43,540"
Enfield - Jubilee,E05000203,"30,800"
Enfield - Lower Edmonton,E05000204,"28,110"
Enfield - Palmers Green,E05000205,"37,970"
Enfield - Ponders End,E05000206,"28,560"
Enfield - Southbury,E05000207,"33,260"
Enfield - Southgate,E05000208,"41,520"
Enfield - Southgate Green,E05000209,"42,750"
Enfield - Town,E05000210,"42,300"
Enfield - Turkey Street,E05000211,"28,960"
Enfield - Upper Edmonton,E05000212,"28,480"
Enfield - Winchmore Hill,E05000213,"45,880"
Greenwich - Abbey Wood,E05000214,"31,540"
Greenwich - Blackheath Westcombe,E05000215,"49,160"
Greenwich - Charlton,E05000216,"37,940"
Greenwich - Coldharbour and New Eltham,E05000217,"38,390"
Greenwich - Eltham North,E05000218,"43,120"
Greenwich - Eltham South,E05000219,"37,120"
Greenwich - Eltham West,E05000220,"34,250"
Greenwich - Glyndon,E05000221,"31,690"
Greenwich - Greenwich West,E05000222,"42,270"
Greenwich - Kidbrooke with Hornfair,E05000223,"35,740"
Greenwich - Middle Park and Sutcliffe,E05000224,"35,340"
Greenwich - Peninsula,E05000225,"41,840"
Greenwich - Plumstead,E05000226,"32,390"
Greenwich - Shooters Hill,E05000227,"39,030"
Greenwich - Thamesmead Moorings,E05000228,"34,450"
Greenwich - Woolwich Common,E05000229,"30,260"
Greenwich - Woolwich Riverside,E05000230,"33,540"
Hackney - Brownswood,E05000231,"40,070"
Hackney - Cazenove,E05000232,"38,130"
Hackney - Chatham,E05000233,"32,510"
Hackney - Clissold,E05000234,"45,450"
Hackney - Dalston,E05000235,"38,230"
Hackney - De Beauvoir,E05000236,"39,060"
Hackney - Hackney Central,E05000237,"35,260"
Hackney - Hackney Downs,E05000238,"35,700"
Hackney - Haggerston,E05000239,"36,080"
Hackney - Hoxton,E05000240,"34,970"
Hackney - King's Park,E05000241,"31,970"
Hackney - Leabridge,E05000242,"35,110"
Hackney - Lordship,E05000243,"39,940"
Hackney - New River,E05000244,"35,590"
Hackney - Queensbridge,E05000245,"36,720"
Hackney - Springfield,E05000246,"33,570"
Hackney - Stoke Newington Central,E05000247,"42,400"
Hackney - Victoria,E05000248,"37,350"
Hackney - Wick,E05000249,"32,890"
Hammersmith and Fulham - Addison,E05000250,"43,970"
Hammersmith and Fulham - Askew,E05000251,"38,450"
Hammersmith and Fulham - Avonmore and Brook Green,E05000252,"43,350"
Hammersmith and Fulham - College Park and Old Oak,E05000253,"30,890"
Hammersmith and Fulham - Fulham Broadway,E05000254,"42,130"
Hammersmith and Fulham - Fulham Reach,E05000255,"42,010"
Hammersmith and Fulham - Hammersmith Broadway,E05000256,"39,500"
Hammersmith and Fulham - Munster,E05000257,"50,240"
Hammersmith and Fulham - North End,E05000258,"39,510"
Hammersmith and Fulham - Palace Riverside,E05000259,"53,330"
Hammersmith and Fulham - Parsons Green and Walham,E05000260,"55,720"
Hammersmith and Fulham - Ravenscourt Park,E05000261,"45,510"
Hammersmith and Fulham - Sands End,E05000262,"44,170"
Hammersmith and Fulham - Shepherd's Bush Green,E05000263,"36,430"
Hammersmith and Fulham - Town,E05000264,"47,940"
Hammersmith and Fulham - Wormholt and White City,E05000265,"31,860"
Haringey - Alexandra,E05000266,"51,450"
Haringey - Bounds Green,E05000267,"34,550"
Haringey - Bruce Grove,E05000268,"30,340"
Haringey - Crouch End,E05000269,"52,070"
Haringey - Fortis Green,E05000270,"49,950"
Haringey - Harringay,E05000271,"37,150"
Haringey - Highgate,E05000272,"53,710"
Haringey - Hornsey,E05000273,"40,260"
Haringey - Muswell Hill,E05000274,"53,910"
Haringey - Noel Park,E05000275,"30,620"
Haringey - Northumberland Park,E05000276,"25,090"
Haringey - St. Ann's,E05000277,"32,460"
Haringey - Seven Sisters,E05000278,"33,500"
Haringey - Stroud Green,E05000279,"44,780"
Haringey - Tottenham Green,E05000280,"28,920"
Haringey - Tottenham Hale,E05000281,"27,340"
Haringey - West Green,E05000282,"31,110"
Haringey - White Hart Lane,E05000283,"27,010"
Haringey - Woodside,E05000284,"32,010"
Harrow - Belmont,E05000285,"42,380"
Harrow - Canons,E05000286,"39,890"
Harrow - Edgware,E05000287,"33,600"
Harrow - Greenhill,E05000288,"37,550"
Harrow - Harrow on the Hill,E05000289,"39,630"
Harrow - Harrow Weald,E05000290,"36,940"
Harrow - Hatch End,E05000291,"42,350"
Harrow - Headstone North,E05000292,"44,470"
Harrow - Headstone South,E05000293,"39,090"
Harrow - Kenton East,E05000294,"32,880"
Harrow - Kenton West,E05000295,"38,400"
Harrow - Marlborough,E05000296,"34,450"
Harrow - Pinner,E05000297,"43,950"
Harrow - Pinner South,E05000298,"49,420"
Harrow - Queensbury,E05000299,"35,030"
Harrow - Rayners Lane,E05000300,"40,310"
Harrow - Roxbourne,E05000301,"32,130"
Harrow - Roxeth,E05000302,"35,110"
Harrow - Stanmore Park,E05000303,"39,210"
Harrow - Wealdstone,E05000304,"32,080"
Harrow - West Harrow,E05000305,"40,210"
Havering - Brooklands,E05000306,"35,250"
Havering - Cranham,E05000307,"42,250"
Havering - Elm Park,E05000308,"34,730"
Havering - Emerson Park,E05000309,"43,790"
Havering - Gooshays,E05000310,"29,400"
Havering - Hacton,E05000311,"39,740"
Havering - Harold Wood,E05000312,"37,010"
Havering - Havering Park,E05000313,"33,590"
Havering - Heaton,E05000314,"29,560"
Havering - Hylands,E05000315,"39,890"
Havering - Mawneys,E05000316,"35,820"
Havering - Pettits,E05000317,"40,010"
Havering - Rainham and Wennington,E05000318,"34,470"
Havering - Romford Town,E05000319,"37,160"
Havering - St. Andrew's,E05000320,"38,130"
Havering - South Hornchurch,E05000321,"33,160"
Havering - Squirrel's Heath,E05000322,"41,740"
Havering - Upminster,E05000323,"47,580"
Hillingdon - Barnhill,E05000324,"31,800"
Hillingdon - Botwell,E05000325,"30,700"
Hillingdon - Brunel,E05000326,"34,630"
Hillingdon - Cavendish,E05000327,"43,970"
Hillingdon - Charville,E05000328,"35,410"
Hillingdon - Eastcote and East Ruislip,E05000329,"47,380"
Hillingdon - Harefield,E05000330,"37,990"
Hillingdon - Heathrow Villages,E05000331,"33,170"
Hillingdon - Hillingdon East,E05000332,"37,250"
Hillingdon - Ickenham,E05000333,"48,770"
Hillingdon - Manor,E05000334,"43,460"
Hillingdon - Northwood,E05000335,"46,550"
Hillingdon - Northwood Hills,E05000336,"43,320"
Hillingdon - Pinkwell,E05000337,"31,830"
Hillingdon - South Ruislip,E05000338,"40,060"
Hillingdon - Townfield,E05000339,"30,430"
Hillingdon - Uxbridge North,E05000340,"41,470"
Hillingdon - Uxbridge South,E05000341,"34,270"
Hillingdon - West Drayton,E05000342,"32,680"
Hillingdon - West Ruislip,E05000343,"43,470"
Hillingdon - Yeading,E05000344,"33,240"
Hillingdon - Yiewsley,E05000345,"32,340"
Hounslow - Bedfont,E05000346,"31,870"
Hounslow - Brentford,E05000347,"35,040"
Hounslow - Chiswick Homefields,E05000348,"51,830"
Hounslow - Chiswick Riverside,E05000349,"49,680"
Hounslow - Cranford,E05000350,"30,860"
Hounslow - Feltham North,E05000351,"32,850"
Hounslow - Feltham West,E05000352,"34,010"
Hounslow - Hanworth,E05000353,"31,150"
Hounslow - Hanworth Park,E05000354,"34,340"
Hounslow - Heston Central,E05000355,"33,580"
Hounslow - Heston East,E05000356,"34,030"
