Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Merton - Pollards Hill,00BAGK,E05000467,"10,800","2,550","7,050","1,150",313
Merton - Ravensbury,00BAGL,E05000468,"10,250","2,250","6,700","1,350",313
Merton - Raynes Park,00BAGM,E05000469,"10,000","2,050","6,550","1,450",341
Merton - St. Helier,00BAGN,E05000470,"10,650","2,350","6,900","1,450",330
Merton - Trinity,00BAGP,E05000471,"10,000","2,050","7,100",900,343
Merton - Village,00BAGQ,E05000472,"8,750","1,650","5,350","1,800",389
Merton - West Barnes,00BAGR,E05000473,"10,200","2,150","6,600","1,500",363
Merton - Wimbledon Park,00BAGS,E05000474,"11,500","2,700","7,750","1,050",340
Newham - Beckton,00BBGB,E05000475,"16,700","3,650","12,200",800,306
Newham - Boleyn,00BBGC,E05000476,"16,350","4,050","11,000","1,300",325
Newham - Canning Town North,00BBGD,E05000477,"16,650","3,550","11,850","1,250",306
Newham - Canning Town South,00BBGE,E05000478,"20,350","4,050","15,100","1,250",299
Newham - Custom House,00BBGF,E05000479,"14,850","3,500","10,400","1,000",299
Newham - East Ham Central,00BBGG,E05000480,"16,200","3,650","11,350","1,200",311
Newham - East Ham North,00BBGH,E05000481,"14,250","3,050","10,100","1,100",323
Newham - East Ham South,00BBGJ,E05000482,"16,250","4,250","10,800","1,200",312
Newham - Forest Gate North,00BBGK,E05000483,"16,550","3,500","11,800","1,250",331
Newham - Forest Gate South,00BBGL,E05000484,"18,150","3,650","13,300","1,150",316
Newham - Green Street East,00BBGM,E05000485,"16,250","3,650","11,650","1,000",316
Newham - Green Street West,00BBGN,E05000486,"15,500","3,350","10,950","1,200",321
Newham - Little Ilford,00BBGP,E05000487,"17,100","4,750","11,200","1,150",315
Newham - Manor Park,00BBGQ,E05000488,"15,600","3,750","10,750","1,100",329
Newham - Plaistow North,00BBGR,E05000489,"15,800","3,700","10,900","1,200",319
Newham - Plaistow South,00BBGS,E05000490,"16,800","4,700","11,000","1,100",314
Newham - Royal Docks,00BBGT,E05000491,"16,550","3,450","12,500",600,306
Newham - Stratford and New Town,00BBGU,E05000492,"26,700","3,700","21,750","1,250",309
Newham - Wall End,00BBGW,E05000493,"15,150","3,850","10,300","1,000",303
Newham - West Ham,00BBGX,E05000494,"16,150","3,300","11,600","1,250",308
Redbridge - Aldborough,00BCFY,E05000495,"15,800","3,500","10,400","1,900",340
Redbridge - Barkingside,00BCFZ,E05000496,"13,150","2,600","8,600","1,950",357
Redbridge - Bridge,00BCGA,E05000497,"11,850","2,350","7,750","1,750",323
Redbridge - Chadwell,00BCGB,E05000498,"14,850","3,750","9,600","1,500",329
Redbridge - Church End,00BCGC,E05000499,"11,900","2,300","8,100","1,450",344
Redbridge - Clayhall,00BCGD,E05000500,"13,600","2,650","8,850","2,100",372
Redbridge - Clementswood,00BCGE,E05000501,"16,950","4,750","10,950","1,250",330
Redbridge - Cranbrook,00BCGF,E05000502,"13,300","2,900","8,700","1,700",355
Redbridge - Fairlop,00BCGG,E05000503,"12,900","2,700","8,450","1,800",324
Redbridge - Fullwell,00BCGH,E05000504,"13,150","2,750","8,350","2,100",333
Redbridge - Goodmayes,00BCGJ,E05000505,"13,400","3,400","8,900","1,150",319
Redbridge - Hainault,00BCGK,E05000506,"13,550","3,050","8,600","1,900",305
Redbridge - Loxford,00BCGL,E05000507,"17,700","5,150","11,300","1,200",340
Redbridge - Mayfield,00BCGM,E05000508,"13,950","3,400","8,900","1,650",339
Redbridge - Monkhams,00BCGN,E05000509,"10,650","1,750","6,550","2,300",370
Redbridge - Newbury,00BCGP,E05000510,"17,450","4,350","11,400","1,700",348
Redbridge - Roding,00BCGQ,E05000511,"12,550","2,900","8,250","1,400",330
Redbridge - Seven Kings,00BCGR,E05000512,"16,950","4,200","11,200","1,550",332
Redbridge - Snaresbrook,00BCGS,E05000513,"12,100","2,150","7,900","2,050",371
Redbridge - Valentines,00BCGT,E05000514,"15,050","3,950","9,750","1,300",341
Redbridge - Wanstead,00BCGU,E05000515,"11,700","2,350","7,450","1,950",344
Richmond upon Thames - Barnes,00BDFW,E05000516,"10,500","2,100","6,750","1,700",328
Richmond upon Thames - East Sheen,00BDFX,E05000517,"10,500","2,500","6,400","1,650",396
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,"10,300","2,250","6,600","1,450",374
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,"10,550","2,000","6,700","1,900",338
Richmond upon Thames - Hampton,00BDGA,E05000520,"10,250","2,050","6,300","1,850",343
Richmond upon Thames - Hampton North,00BDGB,E05000521,"9,600","1,850","6,100","1,650",310
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,"10,550","2,150","6,900","1,450",374
Richmond upon Thames - Heathfield,00BDGD,E05000523,"10,600","2,100","6,800","1,700",324
Richmond upon Thames - Kew,00BDGE,E05000524,"11,650","2,450","7,450","1,750",363
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,"11,100","2,600","7,100","1,400",342
Richmond upon Thames - North Richmond,00BDGG,E05000526,"11,050","2,200","7,250","1,600",360
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,"11,800","2,750","8,000","1,100",369
Richmond upon Thames - South Richmond,00BDGJ,E05000528,"11,100","1,900","7,600","1,550",361
Richmond upon Thames - South Twickenham,00BDGK,E05000529,"10,100","2,000","6,900","1,200",376
Richmond upon Thames - Teddington,00BDGL,E05000530,"10,550","2,050","6,900","1,600",378
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,"10,650","2,000","7,250","1,350",366
Richmond upon Thames - West Twickenham,00BDGN,E05000532,"10,750","2,400","6,950","1,350",334
Richmond upon Thames - Whitton,00BDGP,E05000533,"10,050","1,900","6,300","1,800",341
Southwark - Brunswick Park,00BEGC,E05000534,"13,600","2,700","9,900",950,316
Southwark - Camberwell Green,00BEGD,E05000535,"15,950","3,400","11,450","1,100",304
Southwark - Cathedrals,00BEGE,E05000536,"17,250","1,700","14,350","1,200",313
Southwark - Chaucer,00BEGF,E05000537,"16,200","2,300","13,050",850,318
Southwark - College,00BEGG,E05000538,"11,900","2,450","8,000","1,400",324
Southwark - East Dulwich,00BEGH,E05000539,"12,400","2,500","8,800","1,150",334
Southwark - East Walworth,00BEGJ,E05000540,"13,850","2,450","10,300","1,100",320
Southwark - Faraday,00BEGK,E05000541,"13,050","3,000","9,100","1,000",320
Southwark - Grange,00BEGL,E05000542,"17,600","2,500","14,100","1,000",322
Southwark - Livesey,00BEGM,E05000543,"15,000","3,450","10,300","1,300",314
Southwark - Newington,00BEGN,E05000544,"15,500","2,600","11,650","1,250",320
Southwark - Nunhead,00BEGP,E05000545,"13,850","2,850","9,750","1,250",325
Southwark - Peckham,00BEGQ,E05000546,"15,350","3,650","10,600","1,100",321
Southwark - Peckham Rye,00BEGR,E05000547,"13,550","2,950","9,450","1,150",330
Southwark - Riverside,00BEGS,E05000548,"16,600","2,250","13,300","1,050",298
Southwark - Rotherhithe,00BEGT,E05000549,"15,050","2,650","11,350","1,050",312
Southwark - South Bermondsey,00BEGU,E05000550,"14,400","2,850","10,500","1,050",310
Southwark - South Camberwell,00BEGW,E05000551,"13,200","2,550","9,700",950,325
Southwark - Surrey Docks,00BEGX,E05000552,"15,400","1,950","12,500",950,319
Southwark - The Lane,00BEGY,E05000553,"16,450","3,550","11,450","1,450",309
Southwark - Village,00BEGZ,E05000554,"12,500","2,800","8,200","1,500",357
Sutton - Beddington North,00BFGC,E05000555,"10,550","2,200","6,850","1,550",341
Sutton - Beddington South,00BFGD,E05000556,"10,900","2,350","6,850","1,750",320
Sutton - Belmont,00BFGE,E05000557,"10,350","1,900","6,600","1,800",369
Sutton - Carshalton Central,00BFGF,E05000558,"10,400","2,050","6,750","1,600",360
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,"10,200","2,150","6,350","1,750",360
Sutton - Cheam,00BFGH,E05000560,"10,550","1,950","6,450","2,150",364
Sutton - Nonsuch,00BFGJ,E05000561,"10,900","1,900","6,950","2,050",357
Sutton - St. Helier,00BFGK,E05000562,"12,300","3,050","7,950","1,300",311
Sutton - Stonecot,00BFGL,E05000563,"11,000","2,050","7,150","1,750",351
Sutton - Sutton Central,00BFGM,E05000564,"11,550","2,500","7,800","1,300",314
Sutton - Sutton North,00BFGN,E05000565,"10,600","2,200","6,550","1,850",344
Sutton - Sutton South,00BFGP,E05000566,"10,000","1,700","6,600","1,700",338
Sutton - Sutton West,00BFGQ,E05000567,"10,900","2,050","7,350","1,550",352
Sutton - The Wrythe,00BFGR,E05000568,"10,500","2,100","6,900","1,500",332
Sutton - Wallington North,00BFGS,E05000569,"10,900","2,250","7,100","1,500",349
Sutton - Wallington South,00BFGT,E05000570,"10,650","2,000","6,800","1,850",377
Sutton - Wandle Valley,00BFGU,E05000571,"12,250","3,000","8,100","1,150",306
Sutton - Worcester Park,00BFGW,E05000572,"11,950","2,650","7,600","1,700",336
Tower Hamlets - Bethnal Green North,00BGFW,E05000573,"14,750","2,650","11,150",950,323
Tower Hamlets - Bethnal Green South,00BGFX,E05000574,"15,150","2,900","11,550",750,309
Tower Hamlets - Blackwall and Cubitt Town,00BGFY,E05000575,"23,250","4,350","17,800","1,100",305
Tower Hamlets - Bow East,00BGFZ,E05000576,"15,650","2,750","11,800","1,050",295
Tower Hamlets - Bow West,00BGGA,E05000577,"13,650","2,700","9,950","1,050",323
Tower Hamlets - Bromley-by-Bow,00BGGB,E05000578,"19,750","4,850","13,900","1,000",310
Tower Hamlets - East India and Lansbury,00BGGC,E05000579,"16,550","4,250","11,250","1,000",290
Tower Hamlets - Limehouse,00BGGD,E05000580,"17,100","3,800","12,350",950,309
Tower Hamlets - Mile End and Globe Town,00BGGE,E05000581,"16,200","2,950","12,300",950,334
Tower Hamlets - Mile End East,00BGGF,E05000582,"15,200","3,400","11,000",800,320
Tower Hamlets - Millwall,00BGGG,E05000583,"26,350","4,500","20,850","1,000",313
Tower Hamlets - St. Dunstan's and Stepney Green,00BGGH,E05000584,"17,100","3,800","12,050","1,300",325
Tower Hamlets - St. Katherine's and Wapping,00BGGJ,E05000585,"13,550","2,000","10,700",900,324
Tower Hamlets - Shadwell,00BGGK,E05000586,"15,900","3,700","11,250",950,320
Tower Hamlets - Spitalfields and Banglatown,00BGGL,E05000587,"11,800","1,650","9,600",600,338
Tower Hamlets - Weavers,00BGGM,E05000588,"15,050","2,500","11,600",950,321
Tower Hamlets - Whitechapel,00BGGN,E05000589,"17,300","3,000","13,400",900,324
Waltham Forest - Cann Hall,00BHFX,E05000590,"14,350","3,200","10,100","1,050",312
Waltham Forest - Cathall,00BHFY,E05000591,"13,300","2,950","9,350","1,000",312
Waltham Forest - Chapel End,00BHFZ,E05000592,"14,600","3,600","9,750","1,300",322
Waltham Forest - Chingford Green,00BHGA,E05000593,"10,550","1,850","6,450","2,300",332
Waltham Forest - Endlebury,00BHGB,E05000594,"11,150","1,900","7,250","2,000",342
Waltham Forest - Forest,00BHGC,E05000595,"13,250","2,750","9,200","1,300",307
Waltham Forest - Grove Green,00BHGD,E05000596,"15,300","3,300","10,800","1,150",306
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,"12,200","2,650","8,050","1,500",322
Waltham Forest - Hatch Lane,00BHGF,E05000598,"11,400","2,250","7,350","1,850",326
Waltham Forest - High Street,00BHGG,E05000599,"14,850","3,200","10,450","1,200",328
Waltham Forest - Higham Hill,00BHGH,E05000600,"14,200","3,500","9,550","1,150",307
Waltham Forest - Hoe Street,00BHGJ,E05000601,"14,600","3,250","10,100","1,250",321
Waltham Forest - Larkswood,00BHGK,E05000602,"12,050","2,350","7,850","1,850",312
Waltham Forest - Lea Bridge,00BHGL,E05000603,"16,250","4,100","10,800","1,300",313
Waltham Forest - Leyton,00BHGM,E05000604,"14,950","3,700","10,150","1,150",295
Waltham Forest - Leytonstone,00BHGN,E05000605,"13,450","2,350","10,000","1,050",317
Waltham Forest - Markhouse,00BHGP,E05000606,"15,250","3,700","10,400","1,200",301
Waltham Forest - Valley,00BHGQ,E05000607,"11,850","2,450","7,750","1,650",319
Waltham Forest - William Morris,00BHGR,E05000608,"13,750","3,250","9,400","1,100",318
Waltham Forest - Wood Street,00BHGS,E05000609,"14,150","3,450","9,400","1,300",331
Wandsworth - Balham,00BJFZ,E05000610,"15,050","2,650","11,150","1,250",348
Wandsworth - Bedford,00BJGA,E05000611,"15,100","2,300","11,600","1,150",348
Wandsworth - Earlsfield,00BJGB,E05000612,"16,100","2,750","12,250","1,050",326
Wandsworth - East Putney,00BJGC,E05000613,"15,850","2,250","11,850","1,750",316
Wandsworth - Fairfield,00BJGD,E05000614,"15,350","2,300","11,950","1,100",340
Wandsworth - Furzedown,00BJGE,E05000615,"15,850","3,350","10,950","1,550",340
Wandsworth - Graveney,00BJGF,E05000616,"15,700","3,000","11,250","1,400",329
Wandsworth - Latchmere,00BJGG,E05000617,"15,850","3,050","11,350","1,400",319
Wandsworth - Nightingale,00BJGH,E05000618,"14,950","2,750","10,850","1,350",318
Wandsworth - Northcote,00BJGJ,E05000619,"15,400","3,300","11,050","1,000",342
Wandsworth - Queenstown,00BJGK,E05000620,"20,150","3,000","15,650","1,500",315
Wandsworth - Roehampton,00BJGL,E05000621,"17,550","3,050","12,850","1,650",297
Wandsworth - St. Mary's Park,00BJGM,E05000622,"17,250","2,550","12,900","1,800",313
Wandsworth - Shaftesbury,00BJGN,E05000623,"14,500","2,150","11,150","1,200",324
Wandsworth - Southfields,00BJGP,E05000624,"16,750","3,400","11,950","1,450",338
Wandsworth - Thamesfield,00BJGQ,E05000625,"15,400","2,650","11,250","1,550",345
Wandsworth - Tooting,00BJGR,E05000626,"17,350","3,150","12,650","1,600",322
Wandsworth - Wandsworth Common,00BJGS,E05000627,"16,350","3,150","11,850","1,350",341
Wandsworth - West Hill,00BJGT,E05000628,"16,850","3,150","12,150","1,550",309
Wandsworth - West Putney,00BJGU,E05000629,"15,400","2,750","10,650","2,000",328
Westminster - Abbey Road,00BKGA,E05000630,"11,500","2,000","7,850","1,650",329
Westminster - Bayswater,00BKGB,E05000631,"10,500","1,400","8,000","1,100",344
Westminster - Bryanston and Dorset Square,00BKGC,E05000632,"12,650","1,350","9,950","1,350",358
Westminster - Churchill,00BKGD,E05000633,"10,550","1,950","7,350","1,250",344
Westminster - Church Street,00BKGE,E05000634,"12,000","2,700","7,650","1,650",318
Westminster - Harrow Road,00BKGF,E05000635,"12,350","2,350","8,950","1,050",333
Westminster - Hyde Park,00BKGG,E05000636,"13,450","1,750","10,400","1,300",336
Westminster - Knightsbridge and Belgravia,00BKGH,E05000637,"10,050","1,050","7,650","1,400",341
Westminster - Lancaster Gate,00BKGJ,E05000638,"13,800","1,600","11,050","1,150",349
Westminster - Little Venice,00BKGK,E05000639,"11,050","2,000","7,900","1,200",304
Westminster - Maida Vale,00BKGL,E05000640,"10,550","1,900","7,700","1,000",323
Westminster - Marylebone High Street,00BKGM,E05000641,"11,150","1,050","8,850","1,250",390
Westminster - Queen's Park,00BKGN,E05000642,"13,050","2,650","9,150","1,300",315
Westminster - Regent's Park,00BKGP,E05000643,"12,500","1,950","8,550","2,000",297
Westminster - St. James's,00BKGQ,E05000644,"12,050","1,100","9,650","1,350",353
Westminster - Tachbrook,00BKGR,E05000645,"8,500",850,"6,350","1,250",368
Westminster - Vincent Square,00BKGS,E05000646,"10,500","1,500","7,700","1,350",326
Westminster - Warwick,00BKGT,E05000647,"9,800","1,050","7,550","1,200",310
Westminster - Westbourne,00BKGU,E05000648,"13,200","2,750","9,250","1,200",339
Westminster - West End,00BKGW,E05000649,"11,250",950,"8,950","1,300",363
City of London,00AA,E09000001,"8,100",650,"6,250","1,250",355
Barking and Dagenham,00AB,E09000002,"205,450","53,700","131,700","20,000",307
Barnet,00AC,E09000003,"393,200","82,050","257,850","53,350",339
Bexley,00AD,E09000004,"237,000","47,950","149,400","39,700",323
Brent,00AE,E09000005,"326,350","67,200","222,800","36,350",319
Bromley,00AF,E09000006,"320,100","63,050","200,500","56,550",337
Camden,00AG,E09000007,"230,300","35,500","169,000","25,750",319
Croydon,00AH,E09000008,"381,150","82,900","249,100","49,200",317
Ealing,00AJ,E09000009,"349,350","72,800","236,650","39,900",324
Enfield,00AK,E09000010,"322,150","71,100","209,350","41,650",321
Greenwich,00AL,E09000011,"281,550","61,450","190,850","29,250",316
Hackney,00AM,E09000012,"262,700","53,500","190,250","18,950",321
Hammersmith and Fulham,00AN,E09000013,"189,850","31,850","140,250","17,750",318
Haringey,00AP,E09000014,"269,100","52,200","192,600","24,350",320
Harrow,00AQ,E09000015,"247,500","50,150","160,700","36,650",337
Havering,00AR,E09000016,"250,350","47,250","157,150","45,950",318
Hillingdon,00AS,E09000017,"289,500","61,100","190,500","37,900",323
Hounslow,00AT,E09000018,"263,600","55,150","178,900","29,550",327
Islington,00AU,E09000019,"220,800","35,100","166,750","18,950",320
Kensington and Chelsea,00AW,E09000020,"161,700","25,350","114,300","22,050",332
Kingston upon Thames,00AX,E09000021,"167,200","32,200","112,700","22,300",345
Lambeth,00AY,E09000022,"320,450","57,150","238,750","24,500",316
Lewisham,00AZ,E09000023,"293,050","60,600","205,500","27,000",308
Merton,00BA,E09000024,"206,200","42,450","138,600","25,150",331
Newham,00BB,E09000025,"338,000","75,100","240,500","22,400",313
Redbridge,00BC,E09000026,"292,450","67,000","189,850","35,600",339
Richmond upon Thames,00BD,E09000027,"191,600","39,250","124,250","28,100",350
Southwark,00BE,E09000028,"308,650","57,100","227,800","23,750",319
Sutton,00BF,E09000029,"196,400","40,000","126,650","29,750",342
Tower Hamlets,00BG,E09000030,"284,300","55,700","212,450","16,150",315
Waltham Forest,00BH,E09000031,"271,450","59,750","184,050","27,600",317
Wandsworth,00BJ,E09000032,"322,750","56,750","237,300","28,700",326
Westminster,00BK,E09000033,"230,550","33,900","170,350","26,300",330
London,H,E12000007,"8,632,850","1,726,900","5,923,600","982,400",324
England,921,E92000001,"54,613,400","10,335,450","34,540,350","9,737,650",310
Source:,,,"GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","GLA SHLAA Trend based Population Projection data, and Mid year estimates","Department for Education (via NeSS), and GLA calculations"
